SOR,DTA,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
279,10/12/2007,1,1,1,,1,1,,,1,1,1,1,1,,,,1,1,1,,,1,1,,
280,13/12/2007,,,1,1,1,1,,,1,1,1,,1,,1,1,1,,1,1,,,,1,1
281,17/12/2007,1,1,1,1,,,,1,1,1,1,1,,1,1,,1,,1,,,,1,,1
282,20/12/2007,,1,1,1,,,1,1,,,1,1,1,,1,1,,,1,1,1,1,,,1
283,22/12/2007,1,1,,1,,1,,1,1,1,1,1,1,,,,,,1,1,,1,1,1,
284,27/12/2007,1,,1,,1,1,1,,,,1,1,1,,1,,1,,1,,1,1,1,,1
285,29/12/2007,1,,,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,,
286,03/01/2008,1,1,1,1,,,1,,1,1,1,1,1,,,,,,1,,1,,1,1,1
287,07/01/2008,,1,,,1,1,1,,,1,,1,1,,1,1,1,1,,,1,1,1,,1
288,10/01/2008,1,1,1,1,,1,,,1,1,,1,1,1,1,,,1,1,,,,,1,1
289,14/01/2008,1,1,1,1,,1,,1,1,1,,1,,1,1,,1,,1,,,1,,1,
290,17/01/2008,1,1,,,1,1,1,,1,,1,1,1,1,,,1,,,1,1,1,1,,
291,21/01/2008,1,1,,,1,,1,1,,1,1,1,1,1,1,,1,,,1,,,1,1,
292,24/01/2008,,1,1,,1,,1,1,1,,1,1,1,,,1,1,,,,1,1,,1,1
293,28/01/2008,1,1,1,,,1,,,1,,,1,1,1,1,,,1,1,,,1,1,1,1
294,31/01/2008,1,1,1,1,1,,1,1,,,1,1,,,1,1,,,,1,,,1,1,1
295,07/02/2008,,1,1,1,,1,,,,1,,,1,,1,1,1,1,1,,1,,1,1,1
296,11/02/2008,,1,1,,,1,1,1,,,1,1,,1,1,1,1,1,1,,,1,,,1
297,14/02/2008,1,,,1,,,1,1,1,1,,1,,1,1,1,,,,,1,1,1,1,1
298,18/02/2008,1,,1,1,,1,1,1,,,1,1,1,1,1,1,,,,,1,1,,1,
299,21/02/2008,,,1,,1,1,1,1,,1,,,1,,,,1,1,1,1,1,1,1,1,
300,25/02/2008,,,1,1,,,1,1,1,,1,1,,,1,,1,,1,1,1,1,1,,1
301,28/02/2008,,1,1,,,,,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,,
302,03/03/2008,,1,,1,1,1,,,1,1,1,1,,1,1,1,,1,,1,,1,,,1
303,06/03/2008,,1,1,1,,1,,1,,,,1,,,1,1,1,1,,1,1,1,1,1,
304,10/03/2008,1,,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,,1
305,13/03/2008,,1,1,1,1,,,1,,1,1,1,1,,,,,1,,1,1,1,,1,1
306,17/03/2008,1,1,,1,1,,,1,,,1,1,1,1,1,1,,1,1,1,,,,,1
307,20/03/2008,1,,1,1,,1,,,1,1,,1,,1,1,,1,,1,1,1,,1,1,
308,24/03/2008,1,1,,1,1,,,,,,,1,1,,1,1,,1,1,,1,1,1,1,1
309,27/03/2008,1,1,1,1,,,,1,1,1,,,1,1,,1,1,,,1,1,1,,1,
310,31/03/2008,,1,1,,1,,,,1,1,1,,,1,1,1,1,1,1,,1,,1,1,
311,03/04/2008,,1,,1,1,,1,,,1,,1,,1,1,1,1,,1,1,,,1,1,1
312,07/04/2008,1,1,,,,1,,1,1,1,1,1,1,,,1,1,1,1,,,1,,,1
313,10/04/2008,,1,1,,,1,1,,1,1,,1,,1,1,1,1,1,1,,,,1,,1
314,14/04/2008,1,1,,,1,1,,1,1,,1,1,1,1,1,,,,1,1,1,1,,,
315,17/04/2008,,1,1,,1,1,,1,,,1,,1,1,,1,1,,1,1,1,,1,1,
316,22/04/2008,1,,1,1,,1,1,1,,1,,1,1,1,1,,,1,1,,,,1,1,
317,24/04/2008,1,1,,1,1,,,1,1,,1,,,1,,1,,1,1,,1,1,,1,1
318,28/04/2008,,,1,1,1,1,,,1,,1,1,1,1,1,1,,1,,,1,,1,,1
319,02/05/2008,1,,1,1,,1,,1,1,1,,1,,1,,1,1,,1,1,,,1,1,
320,05/05/2008,1,,1,,,1,,,1,,1,1,,1,1,,1,1,1,,1,1,1,,1
321,08/05/2008,,1,1,1,,,,,1,1,1,1,1,1,,1,1,1,,1,,,,1,1
322,12/05/2008,1,1,1,,1,,1,,,,,1,1,,1,1,1,1,,1,1,,1,1,
323,15/05/2008,1,1,1,1,,1,1,,1,1,,,,1,,,1,,1,1,1,,1,,1
324,19/05/2008,1,1,1,1,,1,1,1,1,1,,1,,,,1,,,,1,1,,1,1,
325,23/05/2008,1,1,,1,1,1,1,,,1,,,,1,1,,,,1,1,,1,1,1,1
326,26/05/2008,1,1,,1,,1,1,1,,1,1,1,1,,1,,1,1,,,,,,1,1
327,29/05/2008,1,1,1,1,,,,1,,,,1,1,1,1,1,1,1,1,,1,,1,,
328,02/06/2008,,1,1,1,1,,,,,,1,1,1,,1,,,1,1,,1,1,1,1,1
329,05/06/2008,1,1,1,1,,,,1,1,,,,1,1,,,1,1,,1,1,,1,1,1
330,09/06/2008,1,1,,,1,1,,,1,,,1,,1,1,,1,1,1,,,1,1,1,1
331,12/06/2008,1,,1,,1,1,1,,,,,1,1,,1,1,,1,1,,1,1,1,,1
332,16/06/2008,,1,1,,1,1,1,,,1,1,1,,1,,,,,1,1,1,,1,1,1
333,19/06/2008,1,1,,,1,1,,,1,,1,1,1,1,1,1,,1,,,1,,1,,1
334,23/06/2008,1,1,,,,1,1,1,,,1,,1,,1,1,1,1,,,1,1,1,,1
335,26/06/2008,1,,1,1,,1,1,1,1,,1,1,,1,,1,1,,1,1,1,,,,
336,30/06/2008,1,1,1,,1,1,,1,,1,1,,,1,1,1,1,,1,,,1,,,1
337,03/07/2008,1,,1,1,1,,1,1,1,1,1,1,,,,1,,1,1,,,1,1,,
338,07/07/2008,,,1,1,1,1,1,,1,,,1,,1,1,1,1,,1,1,1,,,,1
339,10/07/2008,1,1,,,1,,,1,,1,,,1,,1,1,,1,1,1,1,1,1,1,
340,14/07/2008,,1,1,1,1,1,,1,1,1,1,,,1,,,,,1,1,1,1,,,1
341,17/07/2008,1,,,,1,,1,,1,,1,1,1,,,1,,1,1,1,1,1,,1,1
342,21/07/2008,1,,1,1,,,,1,,,1,1,1,,1,1,,,1,1,1,1,1,,1
343,24/07/2008,,,1,,1,1,,1,,,1,1,1,1,1,1,,1,1,1,,1,,,1
344,28/07/2008,,,1,1,1,1,,,1,1,1,1,1,,1,1,,,,1,1,,,1,1
345,31/07/2008,,1,,,,,1,,1,,1,1,,1,1,1,,1,1,1,1,,1,1,1
346,04/08/2008,1,1,1,,1,1,,1,,1,,1,,1,1,,1,1,,,1,,1,1,
347,07/08/2008,,,1,,1,,1,1,1,1,1,1,,1,1,,,1,1,1,,,,1,1
348,11/08/2008,1,1,,,1,,1,1,,,,1,,1,,,1,1,1,1,1,1,,1,1
349,14/08/2008,1,1,,,1,,1,1,,,,1,,1,,1,1,1,1,1,,1,,1,1
350,18/08/2008,1,1,1,1,,1,1,1,1,,,1,1,1,1,,,,,,,1,1,,1
351,21/08/2008,1,1,1,,1,,1,,,1,1,1,,1,,1,1,1,1,,,,1,1,
352,25/08/2008,1,1,1,1,,1,,,1,,,1,1,,1,,1,1,1,1,,1,,1,
353,28/08/2008,,1,1,,,,1,1,1,,1,1,1,,,,1,1,1,1,1,1,1,,
354,01/09/2008,1,1,,1,,,1,1,1,1,,1,,,,1,1,1,1,,1,1,1,,
355,04/09/2008,,1,,1,,1,1,1,1,1,1,1,1,,1,,,1,1,,,,1,,1
356,08/09/2008,,1,,1,1,,,,1,1,1,,1,1,1,1,,,1,1,,1,,1,1
357,11/09/2008,1,1,,,1,1,,1,1,1,1,,1,1,,,1,,1,,1,,1,,1
358,15/09/2008,,1,,1,,1,,,1,1,1,1,,1,1,1,1,1,,,,,1,1,1
359,18/09/2008,,,,1,,,1,1,,1,1,1,1,,,1,1,1,1,,1,1,,1,1
360,22/09/2008,1,1,1,1,1,,1,1,1,,1,,,,,,1,1,1,1,,,1,1,
361,25/09/2008,1,,,1,,,1,,1,1,,1,1,1,1,1,1,,1,1,,,1,1,
362,29/09/2008,1,1,1,1,1,1,1,,,1,,1,1,,,,1,1,,,,1,1,1,
363,02/10/2008,,1,1,1,,1,,1,1,,1,,1,,1,1,1,,,1,1,1,1,,
364,06/10/2008,,1,1,1,,1,1,,1,,1,1,1,,1,,,,1,1,1,1,,1,
365,09/10/2008,,,1,1,1,,,1,,1,1,1,,,1,1,,1,1,1,,,1,1,1
366,13/10/2008,,,1,,1,1,,1,1,,1,,1,,1,,1,1,,1,1,1,1,,1
367,16/10/2008,1,1,,1,,,1,1,1,,,1,1,,1,,1,1,,1,1,1,,1,
368,20/10/2008,,1,1,1,1,1,,,,,1,,1,1,1,,1,,1,1,1,1,,1,
369,23/10/2008,1,,1,,1,1,1,,1,,1,1,,1,1,,,,,1,1,1,1,1,
370,27/10/2008,,,1,1,,1,1,1,1,1,1,1,,1,,1,1,,1,,,,1,,1
371,30/10/2008,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,,,,,1,,,1
372,03/11/2008,,,1,1,1,1,,,,1,,1,1,1,,1,1,,1,,,1,1,1,1
373,06/11/2008,,1,,1,,1,,,1,,1,1,1,1,1,,1,,1,1,1,1,1,,
374,10/11/2008,1,1,1,,,1,,,1,,,1,1,,,1,,1,,1,1,1,1,1,1
375,13/11/2008,1,1,,,1,,1,,,1,1,1,1,1,,1,1,1,1,1,,,,,1
376,17/11/2008,,1,1,,,,,1,,1,,1,1,1,1,1,,1,,1,1,1,,1,1
377,20/11/2008,1,1,1,1,,,1,1,1,,1,1,1,,1,,1,,1,1,,1,,,
378,24/11/2008,,1,1,1,,1,,,,,,1,1,1,1,1,,,1,,1,1,1,1,1
379,27/11/2008,,,1,1,1,,1,,,1,1,1,1,1,,1,1,1,,,1,1,,,1
380,01/12/2008,,1,1,1,,1,1,1,1,1,1,,,1,,,1,1,,,,1,1,,1
381,04/12/2008,1,,1,1,,1,1,,1,1,,1,1,,1,,1,,1,,1,1,,,1
382,08/12/2008,,1,1,1,,,1,1,1,1,1,1,,1,1,1,,,,,1,1,,1,
383,11/12/2008,,,1,,1,1,1,,1,,1,1,,1,1,1,,1,,,,1,1,1,1
384,15/12/2008,1,,1,1,,,1,,,1,1,,1,,1,,1,1,1,1,1,1,,,1
385,18/12/2008,1,1,,1,1,1,,1,,,,1,1,,1,,,1,,1,,1,1,1,1
386,22/12/2008,1,1,1,1,,1,1,,1,,1,,,,1,,,1,1,1,1,,1,,1
387,26/12/2008,,1,1,1,,,,1,1,1,1,1,,1,1,,,,1,1,1,1,1,,
388,29/12/2008,1,1,1,,1,1,1,,1,1,1,,,,1,1,1,1,,1,1,,,,
389,02/01/2009,,1,1,1,1,1,,,1,1,,1,1,,,,1,1,1,,,,1,1,1
390,05/01/2009,,1,,,1,,1,,,1,1,1,1,1,1,,,,1,1,1,1,,1,1
391,08/01/2009,1,,1,1,,1,,1,1,,,1,1,,1,1,,1,,,1,1,1,,1
392,12/01/2009,1,1,1,1,,,,,,1,1,1,,1,1,,1,1,,1,1,,1,,1
393,15/01/2009,1,,1,1,,1,1,1,,1,1,,,,,,1,1,,1,1,1,1,,1
394,19/01/2009,,1,,,1,1,1,1,,,,1,1,1,,1,,1,,1,1,1,1,1,
395,22/01/2009,1,1,,1,,1,,1,1,,1,,1,1,1,,1,,,,1,1,1,,1
396,26/01/2009,1,1,1,,1,1,1,,1,1,1,,1,,1,,,1,,1,,1,,1,
397,29/01/2009,1,1,1,1,1,1,,1,1,1,,,1,1,1,,,,,1,,1,,,1
398,02/02/2009,,1,1,1,1,,1,1,1,1,,1,1,,,1,,1,,1,1,1,,,
399,05/02/2009,1,,,1,,,1,,1,1,1,1,,1,,1,1,,1,,1,1,1,1,
400,09/02/2009,1,,,,1,,,,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,
401,12/02/2009,1,1,1,,1,1,1,1,,1,,,,1,,1,1,,,,1,,1,1,1
402,16/02/2009,1,1,,1,,1,1,1,1,,1,,,,,1,,,,1,1,1,1,1,1
403,19/02/2009,,1,,1,,1,1,1,1,,1,1,1,1,1,,,,1,,1,,,1,1
404,26/02/2009,1,,,,1,1,,1,,1,1,,1,1,,1,,1,,1,1,1,,1,1
405,02/03/2009,,,,1,1,1,1,1,,,1,1,1,1,,1,,1,1,,,1,,1,1
406,05/03/2009,1,1,,1,1,,1,1,1,1,1,,,,,1,1,,,,1,1,1,1,
407,09/03/2009,,1,,1,,1,1,1,1,,1,1,,1,1,1,1,,,1,,1,,,1
408,12/03/2009,1,1,1,1,,,,,,1,1,1,,1,1,,,1,1,1,1,1,1,,
409,16/03/2009,1,1,,1,,1,1,1,,1,,,,1,,1,1,,,1,1,,1,1,1
410,19/03/2009,1,,,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,,,,,,1
411,23/03/2009,1,,,,1,,1,,1,,1,1,,1,,1,1,1,,1,1,1,,1,1
412,26/03/2009,,,1,1,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,1
413,30/03/2009,,1,1,,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,,,,1
414,02/04/2009,,1,1,,1,1,,1,1,1,1,,,,1,1,,1,1,1,1,,,,1
415,06/04/2009,1,,1,,,,1,,,1,1,,1,1,1,,1,1,1,1,1,1,1,,
416,09/04/2009,1,1,,,1,1,1,,,,,,1,,1,1,,1,1,1,,1,1,1,1
417,15/04/2009,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,,1,,1,,1,,
418,16/04/2009,,,,,1,,,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1
419,20/04/2009,,,1,1,1,1,1,,,,,,,1,1,1,1,1,,1,1,1,1,1,
420,23/04/2009,,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,,,1,,1,1
421,27/04/2009,,,1,1,1,,,1,1,1,,1,1,1,1,1,,,1,1,,,1,,1
422,30/04/2009,1,1,1,1,,1,1,1,,,,1,1,1,,,1,1,,,,1,1,,1
423,04/05/2009,1,1,1,,1,,,,,,1,,1,,1,1,1,1,,1,,1,1,1,1
424,07/05/2009,1,,1,,,1,,,1,1,1,,1,1,1,1,1,1,1,,,,,1,1
425,11/05/2009,1,,,,,,1,,1,1,1,1,1,,1,1,,1,1,1,,1,1,1,
426,14/05/2009,,1,1,1,1,1,,1,,1,1,,,,1,1,,1,1,,,1,,1,1
427,18/05/2009,1,,1,1,1,1,1,,1,1,1,1,,,,1,,,1,,1,1,,1,
428,21/05/2009,1,,1,1,,,,,,,1,,1,1,1,,1,1,1,1,1,1,1,1,
429,25/05/2009,,1,1,1,1,1,1,1,,,,1,1,1,,1,1,,1,,,,1,,1
430,28/05/2009,,1,1,1,1,1,1,,1,,1,,1,1,1,,,,,1,,1,1,,1
431,01/06/2009,1,1,1,,1,,,,1,,1,1,1,,1,,,1,,1,1,1,1,1,
432,04/06/2009,,1,1,1,,1,1,,,1,,1,1,,1,,1,,1,1,1,,1,1,
433,08/06/2009,1,1,1,,1,,1,1,1,,,,,1,1,,,,1,,1,1,1,1,1
434,12/06/2009,,,1,1,,1,,,1,,1,1,1,,1,1,1,1,,,1,,1,1,1
435,15/06/2009,1,,1,1,1,,,,,1,1,,1,1,1,1,1,1,,,1,,,1,1
436,18/06/2009,,,1,1,,1,1,,,1,,,1,1,1,,,1,1,1,1,1,1,,1
437,22/06/2009,1,1,,1,1,1,,1,,1,1,1,,,,1,1,,1,1,1,,1,,
438,25/06/2009,1,,,1,,,1,1,1,,1,,1,,1,,1,1,,,1,1,1,1,1
439,29/06/2009,,1,1,,1,,,,1,1,1,1,,1,1,,1,,1,,1,,1,1,1
440,02/07/2009,1,,1,,1,,,1,1,,,1,1,1,1,1,,,1,,1,1,,1,1
441,06/07/2009,1,1,1,1,,,1,1,1,1,1,,1,1,,,,,,1,,,1,1,1
442,09/07/2009,,,,,1,1,1,1,1,,,1,1,1,1,,1,1,,,,1,1,1,1
443,13/07/2009,1,1,1,,1,,1,,,1,1,1,,,,1,1,1,1,,1,1,1,,
444,16/07/2009,1,1,1,,,1,1,,,1,,,,1,1,,,1,1,1,1,1,,1,1
445,20/07/2009,1,1,,1,,,1,,1,1,1,1,1,,1,1,,1,1,1,1,,,,
446,23/07/2009,1,1,,1,1,1,,1,,1,1,,,1,1,1,,,1,,1,,1,1,
447,27/07/2009,1,1,,,1,,,1,,1,,1,,,,1,1,1,1,1,1,1,,1,1
448,30/07/2009,1,,1,,1,1,,,1,1,1,1,1,1,1,,1,,,1,,,1,1,
449,03/08/2009,1,1,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,1,,1,1
450,06/08/2009,,,,1,1,1,1,,1,,1,,,1,,1,1,1,,,1,1,1,1,1
451,10/08/2009,1,,1,,1,1,,1,1,,,,,1,1,,1,1,1,,,1,1,1,1
452,13/08/2009,1,,,,,1,1,1,1,1,1,1,,1,,,1,1,1,1,,,,1,1
453,17/08/2009,1,1,1,1,,1,,,1,,1,,,1,1,,1,,1,1,1,,,1,1
454,20/08/2009,,,1,1,,1,1,,,,1,1,1,1,1,,1,,1,1,,1,,1,1
455,24/08/2009,1,,1,1,1,1,1,1,,,1,1,,1,,,,1,1,,1,,1,,1
456,27/08/2009,1,,1,1,,,,,1,1,1,1,1,1,,,1,1,,,1,,1,1,1
457,31/08/2009,1,,,1,1,,,,,,1,,1,1,1,1,,1,1,1,1,1,1,,1
458,03/09/2009,,1,1,1,1,1,1,1,1,,1,,1,,1,1,,1,,1,,1,,,
459,08/09/2009,1,1,1,1,,,1,,,1,1,1,,1,1,,1,,1,1,1,,1,,
460,10/09/2009,1,,1,1,,1,,,1,1,1,1,,1,1,1,1,,1,,,1,1,,
461,14/09/2009,,,1,1,1,1,1,1,,,1,1,1,1,1,,1,,1,,,,1,1,
462,17/09/2009,1,1,1,,1,,1,1,,,,1,,1,,1,1,1,,,1,1,1,1,
463,21/09/2009,,1,1,,,1,1,,1,,1,,1,1,,,1,1,1,1,,1,1,,1
464,24/09/2009,1,1,,,1,,,1,,1,1,,,,,1,1,,1,1,1,1,1,1,1
465,28/09/2009,1,1,1,1,,1,1,,1,1,1,,1,,,,,1,1,,1,1,,,1
466,01/10/2009,,1,,,,1,1,1,,1,1,1,,1,,,1,1,1,1,1,1,,,1
467,05/10/2009,,1,,1,1,1,1,,,1,,,1,1,1,,1,1,,,1,1,,1,1
468,08/10/2009,,1,1,,1,1,,,1,1,,1,1,,1,,1,1,,,1,1,,1,1
469,13/10/2009,1,1,,,1,1,1,1,,1,1,,1,1,,,,1,1,,,1,1,,1
470,15/10/2009,1,,1,1,1,1,1,1,,1,1,,1,,1,,,1,,1,,1,1,,
471,19/10/2009,,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,,1,,,,1,1
472,22/10/2009,1,1,,1,1,1,1,1,,,1,1,1,1,1,,1,1,,1,,,,,
473,27/10/2009,1,1,,,1,1,1,1,1,,1,1,,,1,,1,,1,,,1,1,,1
474,29/10/2009,1,1,1,,1,,,,1,1,1,1,,,1,1,1,1,,,1,,1,1,
475,03/11/2009,,1,1,1,1,1,,,1,1,1,,1,1,,,1,,,1,1,,1,,1
476,05/11/2009,1,,,,1,1,1,,1,1,1,,1,1,1,1,1,,1,,,,,1,1
477,09/11/2009,,1,,1,,1,1,1,,1,1,1,,1,,1,,1,,1,,,1,1,1
478,12/11/2009,,1,1,,1,,1,,1,1,1,1,1,,,1,,1,,,,1,1,1,1
479,16/11/2009,,1,1,,1,,,1,,,1,,1,1,1,1,,1,1,,,1,1,1,1
480,19/11/2009,,,,1,1,1,1,1,1,,1,1,,,1,,1,1,1,,,1,,1,1
481,23/11/2009,1,,1,,1,,1,,1,1,,1,1,1,1,,1,,,1,1,1,,1,
482,26/11/2009,,1,,,,1,1,1,1,1,,1,,,1,1,1,,1,,1,1,1,,1
483,30/11/2009,1,,,1,1,1,1,,1,,1,1,,1,,,1,1,,,1,1,1,1,
484,03/12/2009,1,,,1,,1,,1,1,1,1,,1,1,,1,1,,,1,1,,1,,1
485,07/12/2009,,1,1,1,1,1,1,,,,1,,,,,1,1,1,,1,1,1,,1,1
486,10/12/2009,1,1,1,1,1,,1,,1,,1,,1,,1,,,1,1,1,1,1,,,
487,14/12/2009,,,,1,1,1,1,1,1,1,,,,1,1,,1,1,1,,1,1,,1,
488,17/12/2009,,,,,1,1,1,1,,,1,1,1,1,1,,1,1,,1,,1,,1,1
489,21/12/2009,1,1,,,1,,1,,,1,1,1,,1,,,1,1,1,,1,1,1,,1
490,24/12/2009,,,1,,1,1,,1,,1,1,1,1,1,,1,1,1,,,1,1,1,,
491,28/12/2009,1,1,1,,,,1,,1,,1,1,1,,,1,,,,1,1,1,1,1,1
492,31/12/2009,1,1,1,1,,1,,1,,,1,1,,1,1,,,1,1,,1,,,1,1
493,04/01/2010,1,,,1,1,,1,1,,1,,1,1,1,1,,1,1,,,1,1,,,1
494,07/01/2010,,1,1,1,1,,1,1,,,,1,1,,1,1,,1,1,1,1,1,,,
495,11/01/2010,1,,1,1,,1,1,1,1,,1,,1,,1,,1,,1,,,1,,1,1
496,14/01/2010,,,1,1,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,1,
497,18/01/2010,1,1,1,1,1,,,1,1,,1,1,,1,,1,1,,1,,,,1,,1
498,21/01/2010,1,1,,1,1,1,,,,,1,,1,1,1,1,,1,,1,,1,1,,1
499,25/01/2010,1,1,1,1,,,1,,,1,1,1,,,1,,1,,1,1,1,,,1,1
500,28/01/2010,,1,1,,1,1,,1,1,1,,,1,1,,1,,1,,1,1,,1,,1
501,01/02/2010,1,1,1,1,,1,,,1,,,1,,,1,,1,1,1,,1,,1,1,1
502,04/02/2010,1,1,1,1,1,1,,1,,1,1,,1,,,1,,1,1,,,,1,1,
503,08/02/2010,1,1,1,1,1,,1,,,,1,1,,1,1,,1,,,1,1,,,1,1
504,11/02/2010,1,,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,
505,13/02/2010,,,1,1,,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,,1,
506,18/02/2010,,,,1,1,1,,,1,,1,1,1,,1,1,1,,1,1,1,1,,1,
507,22/02/2010,1,1,1,,1,1,,1,1,1,1,1,,,,,,,,1,1,,1,1,1
508,25/02/2010,,1,1,,1,1,1,1,1,,,,,1,1,1,,1,1,,,,1,1,1
509,01/03/2010,1,,1,,1,1,,,1,,1,1,,,1,1,1,,1,1,,1,,1,1
510,04/03/2010,1,1,1,1,,1,1,,,1,1,1,1,,,,,,,1,1,1,1,,1
511,08/03/2010,1,1,,,1,,1,,,1,1,1,1,1,,,1,1,1,,1,,,1,1
512,12/03/2010,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,,,,,1,,,1,
513,15/03/2010,1,1,1,,,1,,,1,1,1,,1,,1,,1,1,,1,,1,1,,1
514,18/03/2010,1,,,,1,1,1,1,1,,1,1,,,1,,1,1,,,1,1,,1,1
515,22/03/2010,,1,1,,1,,1,,1,1,1,1,1,1,,,1,1,,1,,,,1,1
516,25/03/2010,,1,,1,1,1,1,1,,,1,1,1,1,,,,1,,1,1,,1,1,
517,29/03/2010,1,,1,1,1,1,1,1,1,,1,1,1,,,,1,,,,1,1,1,,
518,01/04/2010,,,,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,,1,,1,
519,05/04/2010,,1,1,,,,1,,1,,1,1,1,,1,1,1,,1,,1,,1,1,1
520,08/04/2010,,1,,1,1,1,,,1,1,,1,,1,1,,,1,1,1,,1,1,1,
521,12/04/2010,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,,1,1,,,1,,
522,15/04/2010,,1,,1,,1,1,,1,,1,,,,,1,1,1,1,,1,1,1,1,1
523,19/04/2010,,1,,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,,,1,1
524,22/04/2010,,1,1,,1,1,1,,,1,1,1,,1,,,1,,,1,1,1,1,1,
525,26/04/2010,,,1,1,,1,,,1,1,1,,1,,1,1,1,1,,1,1,1,,,1
526,29/04/2010,1,1,,1,,,1,1,1,1,1,1,,1,1,1,,,1,,,,,1,1
527,03/05/2010,1,1,,,1,1,,,1,,1,1,,1,1,1,1,,1,,,1,1,1,
528,06/05/2010,,1,1,1,,1,1,1,,1,1,1,,,1,,,,1,,1,,1,1,1
529,10/05/2010,,1,1,,1,1,1,,,,1,1,,,,1,1,1,1,1,,1,1,,1
530,13/05/2010,,,1,1,,1,1,1,1,1,1,1,,1,,1,,1,,,1,1,1,,
531,17/05/2010,1,1,1,,,,1,,,1,,1,1,1,1,1,1,,,,1,1,1,,1
532,20/05/2010,1,1,,1,1,1,1,,1,,1,1,1,,1,1,,,1,,,1,,1,
533,24/05/2010,1,1,1,,,,,1,1,1,1,,1,1,,1,1,1,,1,,,,1,1
534,27/05/2010,1,1,1,,1,,1,1,,,1,1,1,,1,,,1,1,,1,1,,1,
535,31/05/2010,1,,,1,1,1,,,1,,1,,1,,1,1,1,,1,,1,,1,1,1
536,04/06/2010,,,1,1,1,,1,,1,,1,,,,1,1,1,,1,1,,1,1,1,1
537,07/06/2010,1,1,,1,,1,,,1,1,1,,,1,1,,1,1,,1,,1,1,1,
538,10/06/2010,,1,,,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,,1,1
539,14/06/2010,1,1,,1,1,1,,1,1,,,1,1,1,1,1,,,1,,1,,1,,
540,17/06/2010,,1,,,,1,1,1,1,,1,1,1,,1,1,,1,1,1,,1,,1,
541,21/06/2010,,,1,1,1,1,,,1,1,,,1,1,1,,1,,1,1,,1,,1,1
542,24/06/2010,1,1,1,1,1,,,1,1,1,,,1,,,1,1,1,,1,,1,,1,
543,28/06/2010,1,,,,1,,1,1,,1,1,,1,1,1,1,1,,,1,,1,,1,1
544,01/07/2010,,1,,1,1,,1,1,1,,1,,1,1,1,,,1,1,,1,,1,1,
545,05/07/2010,1,,1,,1,1,1,,,,1,1,1,1,1,,1,1,,,,,1,1,1
546,08/07/2010,,1,1,1,1,,,1,1,1,1,1,1,,,,1,1,1,,1,,1,,
547,12/07/2010,1,1,,1,1,1,,,1,1,,1,,1,,1,1,,1,1,,,,1,1
548,15/07/2010,1,1,1,1,1,1,1,1,1,,,,1,1,,,1,,,1,,,1,,1
549,19/07/2010,,,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,1,1,1,,
550,22/07/2010,1,,,,1,1,1,,1,1,1,,1,1,,1,1,1,,1,1,1,,,
551,26/07/2010,,,1,,,,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,,1,
552,29/07/2010,1,,1,1,1,1,,1,,1,,1,1,,,,1,,,1,,1,1,1,1
553,02/08/2010,,,,1,1,,1,1,1,1,,1,1,1,1,,1,1,,,1,,1,1,
554,05/08/2010,1,1,1,1,,1,,,1,,,,1,1,,,1,,1,1,1,1,,1,1
555,09/08/2010,1,1,,,,1,1,1,1,1,,1,,1,,1,1,1,,1,,,1,1,
556,12/08/2010,1,,,1,,,,1,1,,1,,1,1,,1,1,1,,1,,1,1,1,1
557,16/08/2010,1,,,,1,,1,1,1,1,,1,,1,1,,1,1,1,1,1,,1,,
558,19/08/2010,1,,1,1,1,,1,,,1,,1,,1,,,1,1,,1,1,1,,1,1
559,23/08/2010,1,1,,,1,,1,,1,1,1,,1,1,,1,,,1,1,1,1,1,,
560,26/08/2010,1,1,,1,,,,,1,1,,1,,1,,,1,1,1,1,1,,1,1,1
561,30/08/2010,,1,1,1,,1,1,,1,1,1,1,1,,1,,1,1,,1,1,,,,
562,02/09/2010,1,1,1,,1,,1,1,,,,,1,1,,1,,1,1,1,1,1,,1,
